sentiment,content
sadness,layin n bed headache ughhhh waitin
sadness,funeral ceremony gloomy friday
enthusiasm,want hang friend soon
neutral,want trade houston ticket
worry,ping prom bc bf like friend
sadness,sleep m think old friend want marry damn amp want scandalous
worry,hmmm
sadness,charlene love miss
sadness,sorry friday
neutral,not fall asleep
worry,choke retainer
sadness,ugh beat stupid song rude
sadness,u watch hill london u realise tourture week week late watch itonlinelol
surprise,get news
sadness,storm electricity go
love,agree
sadness,sleepy late fail
worry,lady gaga tweet impress video leak know
sadness,convinced want signal damn think lose friend
worry,oh bad hope get well have sleep issue lately
fun,wonder awake write new song plot evil secret plot muahahaha oh damn secret anymore
neutral,topic map talk balisage markup conference program online topicmap
worry,eat know tell thing food
sadness,tired think definitely go ear infection go bed
worry,way home n have deal w underage girl drink gin da bus talk bout kegger damn feel old
sadness,sorry people rude isaac manner know well lewd
worry,damm server need hit koxper pass
sadness,fudge paper tired ugh hate school time sleep
worry,hate cancer hate hate hate
hate,annoying start type computer middle night
neutral,not sleep
neutral,miss bus
neutral,feel strong contraction want
neutral,socal stoke maybe tomorrow
neutral,screw week
sadness,yeah s feel funny cause sleep wake mum cause singe impressed s
worry,need skott right
neutral,work afternoon
neutral,aw unfollow cry
happiness,mmm well day far early day uds
fun,go to twitter cause amazing lol come canada perform
worry,pick blackberry middle street crush
worry,feeling pack hit sfo time year think miss
worry,bed time hope school tomorrow feel right
worry,ahh hope learn stuff way work separate thing
sadness,have problem photo twitter face
neutral,oh noooo blow tire reaaaally go send batman smoke
neutral,wnna bath
neutral,chocolate milk well straw lack say straw
worry,tired
neutral,time diff wrap day day stuff not tweet talk soon sleep
neutral,way damn suck b ok
worry,suck able day work money trip sad
enthusiasm,bed sorta today good sara strep think angelina share water tell prob
neutral,recession hotel restructure account add bit pressure short term cope
neutral,get dibs sulu
sadness,aww onward upwards yay sad leave bet
worry,haha poor aby get sore
sadness,diesel yaris sad available awesome
sadness,want buy great album unfortunately not hav enuff fund time
sadness,honesty pain blech
sadness,ok passenger alive dead know til end cry
neutral,home
worry,ia happy cook choice single
sadness,fall asleep beach sunscreen lol
worry,think son flu cause def clean stanky puke mess poor pumkpin
happiness,great oin amp cynthia happy dinner great cute little place bad oin get sick
neutral,not bday nudge
worry,woman transfer impression sexual maternal threaten man weak
neutral,brother bloom will open weekend el paso buy brick enjoy watch brother bloom
neutral,say miss plurking
worry,bite blood cat way rabie bacterin shot month wash cat home hate water
neutral,miss vooby
neutral,elp
happiness,dude favorite sandwich place ummm picture
worry,sad shin ae get marry alex
worry,sure tweet news abuzz tr knight leaving today muy triste
sadness,ohh thursday exam day wednesday
neutral,mix dentist appt afternoon reschedule tomorrow
sadness,think excited guy realize sad
worry,goooood mooorne people sun definitly spring spring hail storm car dimple
sadness,love usb stick gb australia
worry,fresh prince sleepy sleep nightly routine get to dmv early tmrw
hate,dammit hulu desktop totally screw ability talk particular port dev server watch code
worry,jealous mom talk want twittering make miss
worry,sleep think puppy play today
worry,supppose sleep get amp get song stick head jerk blaahh
neutral,go sweetheart
neutral,freak difficult system wide spellchecker shit settle office suite stupid unhelpful window
worry,month summer strawberry availble chennai market
neutral,work get to bed soon
love,correct adore pluck arm cuz cryin well hahaha
sadness,hiii m ipod not fall asleep
sadness,not wanna work tomorrow pay
sadness,feel sad coz not able play guy
neutral,princecharme
hate,cayogial want come bz summer sure anymore teacher life summer suck
worry,drop mobile charge datum data pack
hate,win sigh rakeem
neutral,oh time real
sadness,darn allergy like time year problem
worry,oh minute late oh
hate,damn suck
sadness,want come bz summer sure anymore teacher life summer suck
hate,website give virus open window keep pop
worry,ahh big scary bug fly room
sadness,wish know put steal heart give occasionally like like look
worry,nasty cough not sick huge weekend ahead
neutral,stone cold crazy
boredom,tired
neutral,shift time bbye biochem waaaaahhhhhh
neutral,sure cum play workin til midnight
neutral,second wish rain
sadness,early happy day birth case tired therapy today n take medicine misshu love ya
neutral,damn eric need hair play
neutral,feel deflated ugh dog
sadness,allergy suck duck nuts
neutral,good day guess retry tomorrow
hate,waraku tasteless expensive portion little waraku
love,sound good appreciate suggestion week offline time ask refund
worry,die wait magic jack read
hate,youstinkatrespondingtotext
sadness,wonder karma point turn
happiness,need pack cali cali waittt think glass wine order celebrate weekend vaca work tho
sadness,miserable feel like m gona cry sux
neutral,run beer leave sure eta wait wait wait bleh go to long nite methink
worry,nose stud fall find look like head amsterdam today new
neutral,claire love get office radio
love,pat philly love mmm cheesesteak miss boyfriend love vacation
sadness,sigh go bed feel right anymore
neutral,focus tom beloved barack oh vote poor president vote
neutral,epicentre wheelock place tourist
sadness,depressed watch think dance
sadness,cross stick twiddle thumb ugh
neutral,miss
neutral,know like say idea long take investigate stuff
worry,not sleep m sore
neutral,awe miss baby
neutral,chocolate
worry,achieve new appreciation xml build script painful cumbersome
neutral,awake ill nap afternoon
worry,not
neutral,need hour sleep
relief,work
fun,rip leonardo great mini fiddler crab
neutral,morning tweeple way early
sadness,day work uni today sad time
love,thank neemah go to soooo close izzy far
worry,head hurt bad scream
worry,m tired airmatra break m pain
worry,new work wellness challenge go commit check email pm fail day twice
worry,new blog post blog auto insuran find auto insurance policy expire careless meanw
neutral,ma bestfriend mia wat
worry,oh face guy
worry,show age renew tag week go get insurance renewal email today go wanna old
worry,sole supporter sole supporter
hate,hate finish work hour leave work time
worry,urgh stop guy
sadness,miss husband want home
sadness,miss puppy
surprise,day month leave mb leave onpeak download
fun,memo look amazing
sadness,give pizza kid let fav hot one
worry,read tabloid people life think go to baby leave
sadness,yearle pet home die sad family
neutral,fun sun hmmm hell cold
worry,get giant splinter stick underneath finger nail today muppet hurt get aid time
sadness,hate change course fan life oh meet rob go horribly wrong
worry,feel sad reason
sadness,new pain med odd warning actually apply displeased
sadness,upload new blog painful story year old man cry want die sad
neutral,think want detail
neutral,hi mary poppin
worry,addicting kind curse night time everytime feel like make music
neutral,tweet send bad phone
fun,omg ur alive lol go sooo slow go insane grrr tonight
neutral,watch parental control
fun,california vintage ahahah good dress want not ebay
sadness,see pic past thanksgiving sad grandma
worry,will not let
sadness,take shift tomorrow feel like work right
sadness,money phone
worry,spend night er wife tangle wheel daughter amp hit deck dislocation amp fracture result
worry,day ready visit torchwood hear
surprise,bris hear thunder
surprise,bec vs fat food winner fat food weeknend ill beat
sadness,bad red devil disappointing
surprise,dream pretty pretty beach beach wake
sadness,fast m ssd iop hpt try adaptec
surprise,da heck garage man ask
worry,eat mandy forgive sorry wanna lose bff
hate,umm yeah probably pretty good note self eeeeeewwwwwwww
worry,plane ticket expensive
fun,umm yeah probably pretty good note self eeeeeewwwwwwww
